Neighborhood,Borough,TotalPopulation,Hispanic,White,Black,NativeAmerican,PacificIslander,Other,Asian,EastAsian,SouthAsian,SouthEastAsian,OtherAsian,GreatestValue,MajorityRace,IsMajorityWhite,NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints,complaints_per_capita,indoor_air_quality_complaints_per_capita,asbestos_complaints_per_capita,mold_complaints_per_capita,sewage_complaints_per_capita,complaints_per_capita_scaled
WOODHAVEN,Queens,41984.0,59.741806402439025,13.967225609756099,4.301638719512195,0.0,0.0,1.9507431402439026,17.994950457317074,9.232088414634147,6.750190548780488,1.7768673780487805,0.1286204268292683,59.741806402439025,Hispanic,false,WOODHAVEN,274,208,19,36,11,0.006526295731707317,0.004954268292682927,4.525533536585366E-4,8.57469512195122E-4,2.620045731707317E-4,0.1425077366371436
SOUTH OZONE PARK,Queens,86560.0,22.092190388170057,4.721580406654343,19.10466728280961,1.0189463955637708,0.12361367837338262,12.444547134935306,33.19662661737523,1.5480591497227356,30.419362292051755,0.6677449168207024,0.29690388170055454,33.19662661737523,Asian,false,SOUTH OZONE PARK,395,284,43,28,40,0.0045633086876155264,0.003280961182994455,4.967652495378928E-4,3.234750462107209E-4,4.621072088724584E-4,0.08998378575515661
OZONE PARK,Queens,25905.0,39.0310750820305,19.02721482339317,6.022003474232774,0.08106543138390272,0.03088206909862961,3.8486778614167148,28.345879173904653,5.045358038988612,20.89558000386026,1.5248021617448368,0.6060606060606061,39.0310750820305,Hispanic,false,OZONE PARK,81,61,5,8,7,0.0031268094962362478,0.0023547577687705076,1.9301293186643504E-4,3.088206909862961E-4,2.702181046130091E-4,0.05154715256539056
AUBURNDALE,Queens,35803.0,16.17741530039382,34.245733597743204,1.2876015976314834,0.1256877915258498,0.0418959305086166,0.6312320196631568,45.91793983744379,39.6698600675921,2.8461302125520205,2.3573443566181607,0.49716504203558365,45.91793983744379,Asian,false,AUBURNDALE,73,50,13,6,4,0.0020389352847526745,0.0013965310169538865,3.630980644080105E-4,1.6758372203446638E-4,1.1172248135631093E-4,0.022438732404533063
BREEZY POINT-BELLE HARBOR-ROCKAWAY PARK-BROAD CHANNEL,Queens,26170.0,11.757737867787544,81.49407718761941,2.6709973251815056,0.0,0.0,0.03439052350019106,2.934658005349637,1.119602598395109,0.9743981658387466,0.7069163163928162,0.0,81.49407718761941,White,true,BREEZY POINT-BELLE HARBOR-ROCKAWAY PARK-BROAD CHANNEL,333,215,49,59,10,0.012724493695070692,0.008215513947267864,0.0018723729461215131,0.0022544898739014136,3.8211692777990065E-4,0.30835388746344866
PORT RICHMOND,Staten Island,19701.0,41.820212171970965,20.39490381198924,29.424902289223898,0.10659357393025734,0.0,0.1878077254961677,5.786508299071113,0.3654636820465966,4.350032993249074,0.9644180498451855,0.0,41.820212171970965,Hispanic,false,PORT RICHMOND,114,76,13,12,13,0.0057865082990711135,0.0038576721993807423,6.598649814730217E-4,6.091061367443277E-4,6.598649814730217E-4,0.12271312877569801
NEW DORP-MIDLAND BEACH,Staten Island,28775.0,17.209383145091227,61.57775847089487,4.156385751520418,0.10078192875760209,0.0,0.4413553431798436,14.286707211120763,12.903562119895742,0.9695916594265855,0.17723718505647262,0.0,61.57775847089487,White,true,NEW DORP-MIDLAND BEACH,153,52,13,68,20,0.005317115551694179,0.0018071242397914857,4.5178105994787143E-4,0.002363162467419635,6.950477845351868E-4,0.11015351373300485
GREENPOINT,Brooklyn,37518.0,14.654299269683884,72.69310730849192,2.4974678820832668,0.058638520176981714,0.0,0.5597313289620982,3.9714270483501255,1.900421131190362,1.3646782877552108,0.4344581267658191,0.07729623114238499,72.69310730849192,White,true,GREENPOINT,543,435,41,32,35,0.014473052934591396,0.011594434671357748,0.0010928087851164775,8.529239298470068E-4,9.328855482701637E-4,0.35514036009313527
WILLIAMSBURG,Brooklyn,63316.0,29.86290984901131,55.00505401478299,2.2032345694611157,0.017373175816539264,0.0,0.39168614568197613,7.860572367174173,4.649693600353781,2.3943395034430477,0.4043211826394592,0.1137153326173479,55.00505401478299,White,true,WILLIAMSBURG,76,59,9,5,3,0.0012003285109608945,9.318339756143786E-4,1.4214416577168487E-4,7.896898098426938E-5,4.738138859056163E-5,0.0
EAST WILLIAMSBURG,Brooklyn,53478.0,37.58367926998018,37.963274617599765,12.040465238041811,0.10845581360559482,0.0,0.3216275851752122,9.143947043644115,7.1225550693743225,0.9985414562997869,0.7049627884363663,0.08788660757694752,37.963274617599765,White,true,EAST WILLIAMSBURG,605,529,24,24,28,0.011313063315756012,0.009891918171958563,4.4878267698866825E-4,4.4878267698866825E-4,5.23579789820113E-4,0.2705880243928812
FORT GREENE,Brooklyn,35051.0,16.076574134832104,34.13312031040484,30.181735185872014,0.5506262303500613,0.0,1.169724116287695,10.758608884197313,7.469116430344355,2.108356394967333,0.8473367378962084,0.011411942597928732,34.13312031040484,White,true,FORT GREENE,353,262,29,35,27,0.010071039342672106,0.00747482240164332,8.273658383498331E-4,9.985449773187642E-4,7.703061253601895E-4,0.2373549949886082
CLINTON HILL,Brooklyn,27368.0,13.36962876351944,46.81379713534054,27.546769950306928,0.05115463314820228,0.0,0.3836597486115171,7.121455714703304,4.629494299912306,1.5931014323297281,0.6065477930429699,0.06942414498684595,46.81379713534054,White,true,CLINTON HILL,671,539,65,30,37,0.02451768488745981,0.01969453376205788,0.0023750365390236773,0.0010961707103186204,0.0013519438760596317,0.6239061458419624
BOROUGH PARK,Brooklyn,84493.0,7.759222657498254,81.67422153314476,0.6284544281774822,0.037872959890168416,0.0,1.9090338844638017,7.0325352396056475,3.9695596084882774,2.8534908217248764,0.13728947960186053,0.0,81.67422153314476,White,true,BOROUGH PARK,329,243,52,16,18,0.0038938136887079404,0.002875977891659664,6.154355982152368E-4,1.8936479945084209E-4,2.1303539938219735E-4,0.07207000351996747
BRIGHTON BEACH,Brooklyn,31295.0,12.267135325131811,71.49065345901901,0.8403898386323694,0.0,0.0,0.6518613196996325,8.387921393193801,2.0226873302444477,4.815465729349736,0.9522287905416201,0.5048729829046174,71.49065345901901,White,true,BRIGHTON BEACH,394,319,27,35,13,0.012589870586355648,0.010193321616871705,8.627576290142195E-4,0.0011183895190925068,4.154018213772168E-4,0.30475175592059844
